Simulation,Model,Accuracy,F1_Score,R2_Score,RMSE,MAE,ROC_AUC
20,XGBoost,1.0,1.0,1.0,0.0,0.0,1.0
20,LightGBM,1.0,1.0,1.0,0.0,0.0,1.0
20,RandomForest,1.0,1.0,1.0,0.0,0.0,1.0
20,GradientBoosting,1.0,1.0,1.0,0.0,0.0,1.0
21,XGBoost,1.0,1.0,1.0,0.0,0.0,1.0
21,LightGBM,1.0,1.0,1.0,0.0,0.0,1.0
21,RandomForest,1.0,1.0,1.0,0.0,0.0,1.0
21,GradientBoosting,1.0,1.0,1.0,0.0,0.0,1.0
22,XGBoost,1.0,1.0,1.0,0.0,0.0,1.0
22,LightGBM,1.0,1.0,1.0,0.0,0.0,1.0
22,RandomForest,1.0,1.0,1.0,0.0,0.0,1.0
22,GradientBoosting,1.0,1.0,1.0,0.0,0.0,1.0
23,XGBoost,1.0,1.0,1.0,0.0,0.0,1.0
23,LightGBM,1.0,1.0,1.0,0.0,0.0,1.0
23,RandomForest,1.0,1.0,1.0,0.0,0.0,1.0
23,GradientBoosting,1.0,1.0,1.0,0.0,0.0,1.0
24,XGBoost,0.9999,0.9998999999989999,0.9996,0.01,0.0001,1.0
24,LightGBM,0.99985,0.999849999996625,0.9994,0.01224744871391589,0.00015,1.0
24,RandomForest,0.99985,0.999849999996625,0.9994,0.01224744871391589,0.00015,0.99999995
24,GradientBoosting,0.99985,0.999849999996625,0.9994,0.01224744871391589,0.00015,0.999999355
25,XGBoost,1.0,1.0,1.0,0.0,0.0,1.0
25,LightGBM,1.0,1.0,1.0,0.0,0.0,1.0
25,RandomForest,1.0,1.0,1.0,0.0,0.0,1.0
25,GradientBoosting,0.99995,0.999949999999875,0.9998,0.007071067811865475,5e-05,1.0
